,Ticket,Actual EPS,Bloomberg Estimated EPS,Announcement Date,Start,End
0,A UN Equity,0.51,0.484,5/22/17,11/28/16,11/9/17
1,AA UN Equity,0.41,0.581,7/19/17,1/26/17,1/9/18
2,AAL UW Equity,1.76,1.872,7/28/17,2/6/17,1/19/18
3,AAP UN Equity,1.18,1.659,8/15/17,2/23/17,2/6/18
4,AAPL UW Equity,2.11,2.022,5/2/17,11/7/16,10/20/17
5,ABBV UN Equity,1.2,1.399,7/28/17,2/6/17,1/19/18
6,ABC UN Equity,1.89,1.679,5/4/17,11/9/16,10/24/17
7,ABMD UW Equity,0.21,0.244,10/27/16,5/9/16,4/21/17
8,ABT UN Equity,0.16,0.605,7/20/17,1/27/17,1/10/18
11,ACGL UW Equity,0.43,0.391,7/26/17,2/2/17,1/17/18
12,ACHC UW Equity,0.57,0.648,7/27/17,2/3/17,1/18/18
13,ACM UN Equity,0.66,0.608,5/9/17,11/14/16,10/27/17
14,ACN UN Equity,1.35,1.299,3/23/17,9/29/16,9/13/17
15,ADBE UW Equity,0.76,0.946,6/20/17,12/27/16,12/8/17
16,ADI UW Equity,0.27,0.844,5/31/17,12/6/16,11/17/17
17,ADM UN Equity,0.48,0.516,8/1/17,2/8/17,1/23/18
18,ADNT UN Equity,2.03,2.408,4/28/17,11/3/16,10/18/17
19,ADP UW Equity,1.14,0.813,2/1/17,8/10/16,7/25/17
20,ADS UN Equity,2.48,3.728,7/20/17,1/27/17,1/10/18
21,ADSK UW Equity,-0.44,-0.134,8/25/16,3/7/16,2/16/17
23,AEE UN Equity,0.79,0.71,8/4/17,2/13/17,1/26/18
24,AEP UN Equity,0.76,0.816,7/27/17,2/3/17,1/18/18
25,AES UN Equity,0.08,0.208,8/8/17,2/15/17,1/30/18
26,AFG UN Equity,1.64,1.31,8/1/17,2/8/17,1/23/18
27,AFL UN Equity,0.9,0.821,7/27/17,2/3/17,1/18/18
28,AGCO UN Equity,1.15,1.039,7/27/17,2/3/17,1/18/18
29,AGIO UW Equity,-1.78,-1.558,8/8/17,2/15/17,1/30/18
30,AGN UN Equity,-2.37,3.919,8/3/17,2/10/17,1/25/18
31,AGNC UW Equity,0.05,0.606,7/26/17,2/2/17,1/17/18
32,AGO UN Equity,1.26,0.765,8/2/17,2/9/17,1/24/18
33,AGR UN Equity,0.39,0.398,7/19/17,1/26/17,1/9/18
34,AHL UN Equity,1.09,0.95,7/26/17,2/2/17,1/17/18
35,AIG UN Equity,1.22,1.196,8/2/17,2/9/17,1/24/18
36,AIV UN Equity,0.1,0.133,7/27/17,2/3/17,1/18/18
37,AIZ UN Equity,2.18,1.598,8/1/17,2/8/17,1/23/18
38,AJG UN Equity,0.39,1.029,7/27/17,2/3/17,1/18/18
